time, magnitude, latitude, longitude, depth
1993-12-28T22:20:47.580Z,5.1,49.356,155.614,53.6
2008-02-28T11:55:06.130Z,5.1,49.37,155.543,60.1
1994-04-12T14:42:48.900Z,5.5,-21.034,-174.175,30.9
1997-09-24T15:16:28.340Z,5.1,-21.024,-174.273,33.0
1994-04-23T19:36:45.830Z,5.1,40.154,142.506,45.9
1995-01-08T09:37:13.960Z,5.0,40.184,142.449,44.5
1994-04-23T19:36:45.830Z,5.1,40.154,142.506,45.9
2013-07-25T19:05:07.130Z,5.0,40.199,142.472,44.9
1994-07-10T23:14:06.450Z,5.2,36.478,70.15,230.4
2010-06-04T11:49:41.580Z,5.1,36.501,70.17,220.6
1994-08-02T07:37:52.820Z,5.1,-10.422,117.005,48.6
2003-03-20T17:15:13.470Z,5.0,-10.321,117.05,33.0
1994-08-03T01:22:20.090Z,5.4,-6.363,154.943,54.1
2013-10-22T21:15:51.220Z,5.5,-6.345,154.966,50.0
1994-08-05T03:39:05.250Z,5.4,-3.177,101.466,68.5
2008-06-24T19:14:44.150Z,5.1,-3.185,101.433,49.0
1994-08-05T03:39:05.250Z,5.4,-3.177,101.466,68.5
2011-06-19T04:15:58.980Z,5.4,-3.247,101.361,57.1
1994-08-17T22:31:49.490Z,5.1,-4.736,103.151,93.1
2012-07-31T06:50:15.610Z,5.2,-4.769,103.086,70.5
1994-10-04T15:43:07.800Z,5.3,43.287,148.151,25.0
1994-10-06T07:46:35.440Z,5.6,43.239,148.061,32.7
1994-10-04T12:09:40.150Z,5.2,-6.218,104.891,24.3
2002-09-05T00:14:42.090Z,5.2,-6.199,104.876,43.7
1994-10-04T12:09:40.150Z,5.2,-6.218,104.891,24.3
2009-09-04T00:52:08.110Z,5.1,-6.286,104.794,46.0
1994-10-04T12:09:40.150Z,5.2,-6.218,104.891,24.3
2017-11-08T19:17:06.960Z,5.0,-6.507,104.615,35.0
1994-10-25T07:18:42.300Z,5.0,27.329,129.284,33.0
2007-04-16T09:04:54.810Z,5.0,27.453,129.255,30.4
1994-10-25T07:18:42.300Z,5.0,27.329,129.284,33.0
2014-06-11T07:30:59.800Z,5.0,27.427,129.286,30.6
1994-10-26T03:31:16.810Z,5.4,-27.52,-176.909,168.3
2009-01-05T22:27:13.890Z,5.4,-27.48,-176.706,47.0
1994-10-31T23:04:07.690Z,5.5,-17.876,-172.883,33.0
2000-10-04T15:39:27.710Z,5.1,-17.747,-173.199,33.0
1994-11-13T09:07:12.180Z,5.2,-0.221,124.424,35.3
2007-04-20T13:21:00.970Z,5.1,-0.14,124.416,20.9
1994-11-13T09:07:12.180Z,5.2,-0.221,124.424,35.3
2011-05-05T08:45:29.000Z,5.0,-0.199,124.483,73.0
1994-12-09T18:10:21.300Z,5.3,-21.696,-175.311,93.0
1999-09-25T15:59:35.740Z,5.4,-22.02,-175.144,33.0
1994-12-09T18:10:21.300Z,5.3,-21.696,-175.311,93.0
2000-12-01T04:53:51.820Z,5.2,-21.715,-175.312,33.0
1994-12-20T11:08:50.670Z,5.5,-6.134,103.933,37.0
