1997320_2012172, -2.4, 11, 0.1, 11
2005171_2013307, 1.5, 57, -0.3, 58
1996088_2009194, -0.8, 17, 0.0, 17
2008065_2010272, 0.4, 81, 0.1, 76
2004252_2012324, 1.1, 26, -0.1, 27
1999249_2014116, 1.5, 13, 0.1, 13
2000166_2015347, -4.9, 38, -0.1, 35
2005129_2006343, -0.2, 60, -0.1, 53
2010271_2016123, -0.6, 134, -0.0, 139
1999249_2007234, -0.4, 11, 0.0, 11
1995001_1996177, 0.2, 20, 0.1, 21
2006343_2010272, -2.6, 78, -0.0, 77
2005316_2009206, -1.1, 39, -0.0, 44
2001277_2011211, -0.4, 27, -0.1, 26
1997071_2011185, -4.6, 3, -0.1, 3
1991245_2004254, -0.3, 7, 0.1, 7
1995001_2014016, -1.7, 10, 0.2, 10
2002027_2006254, 1.6, 10, -0.0, 10
1997264_2017126, -1.7, 14, -0.1, 17
2003185_2008053, -2.2, 17, -0.0, 16
2001064_2006203, 1.2, 26, 0.1, 27
1997293_2006231, -5.0, 16, 0.1, 16
1991262_2011260, -4.9, 11, -0.1, 11
2002101_2011122, -2.2, 30, 0.3, 35
1993029_2010071, 1.8, 3, 0.0, 3
1991297_2010031, -0.4, 6, 0.1, 6
2000157_2012315, -4.2, 21, 0.1, 21
2008129_2011148, -0.8, 72, 0.0, 75
2002129_2011053, 0.6, 40, 0.1, 41
2002222_2014191, -2.0, 18, -0.1, 19
2000055_2002233, 1.9, 30, -0.1, 32
2010062_2011152, 1.1, 57, -0.0, 57
1994102_1997267, -0.6, 6, -0.0, 6
2002294_2017046, -4.4, 16, 0.0, 16
2008218_2015163, -2.3, 62, -0.3, 56
2005044_2005204, -0.1, 114, -0.1, 120
1991321_2014016, -2.0, 2, 0.2, 2
1994298_2014162, -0.8, 11, -0.0, 11
2010041_2014109, -3.0, 53, -0.4, 55
1999178_2005120, 1.9, 26, 0.1, 28
2000338_2013111, -1.2, 93, -0.1, 90
2013170_2017186, 0.4, 91, 0.0, 94
2005069_2009186, 0.5, 68, -0.2, 65
2007257_2009317, 1.6, 9, -0.0, 9
2008218_2012331, -2.1, 82, -0.4, 75
2005071_2016353, 1.0, 46, -0.5, 52
2005083_2016075, 3.0, 19, -0.0, 18
2007175_2009240, -2.7, 66, 0.1, 72
2003225_2017263, 3.3, 24, 0.1, 26
1995020_2010249, -1.3, 10, -0.0, 11
2006343_2012232, -1.3, 67, -0.1, 71
1997125_2010314, -0.4, 12, -0.1, 12
2001064_2015132, 1.9, 22, 0.0, 21
1998042_2011261, -1.2, 11, 0.1, 12
2000216_2010271, 1.5, 28, -0.2, 28
2001127_2007220, -0.5, 49, 0.1, 50
2004366_2015203, 2.6, 53, -0.2, 47
2004133_2014275, 0.7, 39, 0.1, 38
1991321_1995001, -0.3, 10, -0.0, 10
2006301_2012349, -0.8, 34, 0.0, 32
1998134_2008192, -3.4, 11, -0.1, 12
2007257_2008091, -1.7, 74, -0.0, 71
2000278_2006013, 2.2, 43, 0.0, 44
1995318_2003183, -2.0, 13, 0.4, 14
2009084_2016057, 0.7, 11, 0.4, 11
2005204_2015203, 2.7, 73, -0.2, 64
1993046_2004046, 0.0, 3, 0.2, 3
1996206_2016166, -1.5, 5, -0.1, 5
2006225_2008129, -0.7, 71, -0.3, 70
2007110_2011125, -6.3, 62, -0.2, 72
1999207_2012060, -2.9, 13, 0.1, 15
2008053_2017186, 0.1, 43, -0.2, 46
2006013_2008132, -4.2, 40, -0.2, 42
2008152_2011354, -2.8, 79, 0.0, 75
2008101_2014199, 1.6, 14, -0.1, 15
2005071_2007175, 3.5, 73, -0.3, 72
2000329_2012169, 2.5, 49, -0.1, 50
1994217_2008176, 0.9, 13, -0.2, 13
1993198_2015246, -1.5, 3, 0.1, 3
2000329_2004143, -0.9, 66, -0.0, 66
2006247_2008006, -2.9, 59, -0.1, 64
2000081_2008173, -2.6, 26, -0.1, 29
1996099_2008029, 2.0, 2, -0.0, 2
2001064_2010028, 0.4, 20, -0.1, 19
1998172_2009186, -1.7, 19, -0.3, 21
1991303_2013363, 4.0, 6, -0.0, 6
1997018_2010199, 1.6, 14, 0.0, 12
1996163_2000168, 0.0, 24, -0.2, 29
2005071_2006225, 3.3, 66, 0.0, 62
2004366_2010272, -5.7, 44, -0.2, 48
2007255_2007335, 0.1, 70, 0.1, 68
2008059_2012306, -0.1, 121, -0.1, 119
2005254_2014357, -0.9, 22, 0.1, 23
2009192_2012169, 3.5, 198, 0.0, 193
2002171_2009281, -3.0, 9, 0.1, 9
2003185_2013170, -2.5, 18, -0.0, 16
2010272_2012232, 1.3, 126, -0.1, 117
1991351_2003183, -0.0, 4, -0.2, 4
1994214_2003079, 0.4, 7, 0.0, 7
2003279_2009153, -1.8, 14, -0.0, 15
1999213_2009111, -2.2, 68, -0.2, 71
2005037_2005183, -0.4, 81, -0.5, 84
1997170_2014260, -1.1, 11, 0.1, 11
1999284_2012316, -0.0, 9, 0.1, 9
2000089_2016196, -1.8, 8, -0.1, 8
2011354_2014016, 1.5, 127, 0.1, 118
2002171_2006322, -2.8, 11, -0.1, 11
2000081_2002013, 2.9, 33, 0.0, 33
1992174_2014164, -2.9, 5, -0.1, 5
2006214_2013119, -0.5, 51, 0.0, 51
2005002_2005026, 0.1, 27, -0.0, 30
1995270_2011053, 0.2, 14, 0.2, 14
2002013_2008173, -5.5, 32, -0.1, 34
1993334_2013205, -2.6, 2, 0.2, 2
2012081_2013015, 0.9, 400, -0.1, 380
