1997320_2012172, -2.767, 10, 1.126, 7
2005171_2013307, 1.511, 57, 0.961, 37
1996088_2009194, -0.837, 17, nan, 0
2008065_2010272, 0.384, 81, nan, 0
2004252_2012324, 1.055, 26, 0.742, 27
1999249_2014116, 1.477, 12, 1.325, 3
2000166_2015347, -4.855, 36, nan, 0
2005129_2006343, -0.237, 60, nan, 0
2010271_2016123, -0.646, 135, 0.188, 18
1999249_2007234, -0.408, 10, nan, 0
1995001_1996177, 0.069, 22, 1.201, 24
2006343_2010272, -2.577, 83, nan, 0
2005316_2009206, -1.125, 46, 0.940, 46
2001277_2011211, -0.426, 26, nan, 0
1997071_2011185, -4.603, 3, nan, 0
1991245_2004254, -0.345, 7, nan, 0
1995001_2014016, -1.756, 9, nan, 0
2002027_2006254, 1.775, 9, 0.969, 10
1997264_2017126, -1.716, 17, nan, 0
2003185_2008053, -2.235, 18, nan, 0
2001064_2006203, 1.166, 26, 1.202, 10
1997293_2006231, -4.965, 16, nan, 0
1991262_2011260, -4.867, 10, nan, 0
2002101_2011122, -2.243, 35, nan, 0
1993029_2010071, 1.777, 3, 1.245, 2
1991297_2010031, -0.412, 6, nan, 0
2000157_2012315, -4.162, 21, nan, 0
2008129_2011148, -0.781, 76, nan, 0
2002129_2011053, 0.562, 40, nan, 0
2002222_2014191, -1.997, 18, nan, 0
2000055_2002233, 1.922, 33, nan, 0
2010062_2011152, 1.065, 57, 1.019, 32
1994102_1997267, -0.642, 6, nan, 0
2002294_2017046, -4.388, 16, nan, 0
2008218_2015163, -2.266, 62, nan, 0
2005044_2005204, -0.094, 125, 0.864, 120
1991321_2014016, -1.953, 2, nan, 0
1994298_2014162, -0.797, 11, nan, 0
2010041_2014109, -2.966, 54, nan, 0
1999178_2005120, 1.895, 26, nan, 0
2000338_2013111, -1.165, 98, nan, 0
2013170_2017186, 0.422, 96, 1.001, 97
2005069_2009186, 0.487, 70, 0.548, 64
2007257_2009317, 1.564, 9, nan, 0
2008218_2012331, -2.062, 82, nan, 0
2005071_2016353, 0.974, 50, 0.449, 51
2005083_2016075, 3.000, 18, nan, 0
2007175_2009240, -2.684, 74, nan, 0
2003225_2017263, 3.298, 26, nan, 0
1995020_2010249, -1.315, 10, 0.858, 10
2006343_2012232, -1.292, 68, nan, 0
1997125_2010314, -0.430, 12, 0.213, 1
2001064_2015132, 1.910, 21, nan, 0
1998042_2011261, -1.240, 11, nan, 0
2000216_2010271, 1.526, 28, nan, 0
2001127_2007220, -0.529, 53, nan, 0
2004366_2015203, 2.608, 54, nan, 0
2004133_2014275, 0.717, 39, 0.679, 1
1991321_1995001, -0.300, 10, nan, 0
2006301_2012349, -0.788, 33, nan, 0
1998134_2008192, -3.712, 12, 0.822, 13
2007257_2008091, -1.744, 73, nan, 0
2000278_2006013, 2.172, 43, 1.350, 4
1995318_2003183, -1.966, 13, nan, 0
2009084_2016057, 0.747, 11, nan, 0
2005204_2015203, 2.655, 75, nan, 0
1993046_2004046, 0.005, 3, 1.758, 3
1996206_2016166, -1.499, 5, nan, 0
2006225_2008129, -0.709, 71, nan, 0
2007110_2011125, -6.268, 66, nan, 0
1999207_2012060, -2.873, 14, nan, 0
2008053_2017186, 0.114, 45, 0.751, 40
2006013_2008132, -4.269, 42, nan, 0
2008152_2011354, -2.836, 79, nan, 0
2008101_2014199, 1.648, 14, 0.776, 15
2005071_2007175, 3.456, 74, nan, 0
2000329_2012169, 2.476, 51, 0.842, 52
1994217_2008176, 0.878, 12, 0.716, 11
1993198_2015246, -1.511, 3, nan, 0
2000329_2004143, -0.874, 67, nan, 0
2006247_2008006, -2.888, 64, nan, 0
2000081_2008173, -2.597, 28, nan, 0
1996099_2008029, 2.005, 2, nan, 0
2001064_2010028, 0.382, 18, nan, 0
1998172_2009186, -1.674, 20, nan, 0
1991303_2013363, 4.009, 6, nan, 0
1997018_2010199, 1.661, 12, 1.549, 2
1996163_2000168, 0.072, 29, 0.678, 30
2005071_2006225, 3.320, 69, nan, 0
2004366_2010272, -5.686, 53, nan, 0
2007255_2007335, 0.133, 70, nan, 0
2008059_2012306, -0.054, 124, nan, 0
2005254_2014357, -0.873, 23, nan, 0
2009192_2012169, 3.488, 199, nan, 0
2002171_2009281, -2.974, 8, nan, 0
2003185_2013170, -2.541, 17, nan, 0
2010272_2012232, 1.299, 126, 0.971, 8
1991351_2003183, -0.017, 4, nan, 0
1994214_2003079, 0.394, 7, nan, 0
2003279_2009153, -1.833, 14, nan, 0
1999213_2009111, -2.215, 73, nan, 0
2005037_2005183, -0.385, 84, 0.290, 85
1997170_2014260, -1.036, 10, nan, 0
1999284_2012316, -0.025, 9, nan, 0
2000089_2016196, -1.842, 8, nan, 0
2011354_2014016, 1.540, 128, 1.234, 118
2002171_2006322, -2.797, 10, nan, 0
2000081_2002013, 2.899, 34, 1.021, 35
1992174_2014164, -2.877, 5, nan, 0
