1990272_1996163, -0.1
1990272_2000168, 0.1
1991054_2015252, 0.2
1991245_1999040, 0.1
1991245_2004254, 0.2
1991262_2011260, 0.1
1991297_2008076, -0.1
1991297_2010031, 0.1
1991303_2013363, 0.0
1991321_1995001, 0.0
1991321_1996177, 0.2
1991321_2011122, 0.1
1991321_2014016, 0.1
1991351_2003183, 0.2
1991351_2010246, -0.3
1992126_1997061, 0.0
1992174_2001299, 0.1
1992174_2014164, 0.1
1992184_2002197, 0.2
1992200_2012196, 0.2
1992297_2001047, 0.1
1992297_2008292, 0.0
1992322_2015353, -0.5
1992364_2002280, -0.1
1993029_2010071, 0.1
1993044_2015113, 0.1
1993046_1998134, -0.1
1993046_2004046, -0.1
1993046_2008192, 0.0
1993046_2011289, 0.0
1993046_2015290, -0.2
1993065_2011068, 0.0
1993074_2014327, 0.1
1993079_2006072, 0.1
1993096_2001254, -0.3
1993100_2007060, 0.0
1993137_2008201, 0.0
1993157_2012137, -0.1
1993197_2015070, 0.1
1993198_2015246, 0.0
1993208_2012060, 0.1
1993215_2002171, 0.0
1993254_2008153, 0.0
1993292_2003196, 0.2
1993309_2004130, 0.0
1993329_2003075, 0.0
1993334_2013205, -0.1
1993362_2008059, 0.0
1994102_1997267, 0.4
1994113_1995008, 0.1
1994113_2013206, 0.1
1994191_2010155, 0.1
1994214_2003079, 0.1
1994215_2013295, -0.1
1994217_2008176, 0.3
1994217_2011170, 0.0
1994229_2012213, -0.1
1994277_1994279, -0.3
1994277_2002248, 0.0
1994277_2009247, 0.1
1994277_2017312, 0.2
1994298_2007106, 0.0
1994298_2014162, 0.0
1994299_2009005, 0.0
1994304_2000278, 0.4
1994317_2007110, 0.1
1994317_2011125, 0.2
1994343_1999268, -0.1
1994343_2000336, 0.1
1994354_2012262, 0.3
1995001_1996177, 0.2
1995001_2002101, -0.1
1995001_2011122, 0.1
1995001_2014016, 0.1
1995005_2009174, 0.1
1995009_2017173, 0.2
1995020_2010249, 0.1
1995096_2014277, 0.2
1995106_1999026, 0.0
1995106_2003185, -0.1
1995111_1995145, 0.1
1995114_2003075, 0.1
1995180_2011109, 0.0
1995201_2007344, -0.1
1995230_2007044, 0.0
1995270_2011053, -0.1
1995318_2003183, 0.0
1996065_2005249, 0.1
1996088_2009194, 0.0
1996099_2008029, 0.2
1996123_2008070, 0.1
1996162_1996206, -0.1
1996162_2016166, -0.1
1996163_2000168, 0.2
1996177_2002101, -0.3
1996177_2008152, 0.0
1996177_2011122, -0.1
1996177_2011354, -0.1
1996177_2014016, -0.1
1996206_2016166, 0.0
1996276_2010227, -0.1
1996280_2014054, 0.4
1996290_2012334, -0.3
1996297_2009230, 0.0
1996321_2007248, 0.0
1996361_2010306, 0.0
