53.5332, 0.712
49.3319, 0.721
49.4375, 0.742
50.0727, 0.715
48.8297, 0.693
50.7139, 0.679
48.7408, 0.810
51.8688, 0.718
52.4093, 0.734
51.9438, 0.736
51.7222, 0.711
51.7613, 0.752
49.353, 0.777
50.2384, 0.677
49.4583, 0.702
51.8391, 0.740
48.7706, 0.711
49.9524, 0.650
50.2803, 0.489
50.5907, 0.732
51.064, 0.737
50.1483, 0.780
42.4676, 0.730
50.5942, 0.752
52.6387, 0.866
50.2216, 0.737
57.286, 0.743
47.0956, 1.403
47.025, 0.664
59.2693, 0.675
66.9596, 0.760
49.3481, 0.630
52.1907, 0.722
68.3239, 0.674
48.984, 0.850
55.8529, 0.715
67.1264, 0.680
55.5579, 0.101
55.521, 0.106
55.5015, 0.108
55.4756, 0.089
55.4526, 0.104
55.4373, 0.886
55.4106, 0.104
55.388, 0.041
55.5239, 0.128
55.5224, 0.099
55.5547, 0.095
55.5611, 0.101
55.542, 0.100
55.544, 0.087
55.5431, 0.103
55.543, 0.102
55.5425, 0.099
55.5423, 0.115
55.5392, 0.106
55.5392, 0.109
61.3999, 0.780
69.8232, 0.746
86.7288, 0.760
88.1797, 3.140
78.5143, 0.818
81.8888, 0.867
77.8785, 0.757
79.2336, 0.734
79.8233, 0.862
81.012, 0.788
81.5866, 0.768
77.4074, 0.726
54.4096, 0.785
60.214, 0.821
61.7144, 0.790
75.6173, 0.924
63.4249, 0.781
78.3375, 0.704
92.7981, 0.826
70.8331, 0.762
56.0007, 0.719
87.1288, 0.885
62.6732, 0.756
69.7142, 0.772
64.1725, 0.778
86.918, 0.731
81.1102, 0.846
73.0019, 0.638
81.2729, 0.805
83.371, 0.793
62.4303, 0.751
66.6171, 0.744
85.9483, 0.791
83.1122, 0.786
87.1067, 0.295
88.7685, 0.838
86.7452, 0.760
79.3326, 1.697
71.3119, 0.795
2.83714, 0.704
83.9353, 0.786
90.1821, 0.822
19.6991, 0.789
26.4876, 0.766
20.4355, 0.776
34.0243, 0.823
41.6298, 0.819
40.8354, 0.797
25.9113, 0.789
50.5264, 0.768
61.5862, 0.852
86.1851, 0.773
51.0543, 0.789
75.3142, 0.782
44.8488, 0.843
46.2448, 0.790
68.7993, 0.774
61.3345, 0.746
71.537, 0.779
55.531, 0.711
51.1045, 0.826
79.2049, 0.705
91.5884, 2.083
91.5886, 0.702
92.4465, 0.849
71.9665, 0.761
57.2407, 0.821
61.9492, 0.714
125.344, 0.750
145.789, 0.794
77.3752, 0.877
36.6158, 0.913
27.5801, 0.841
94.7253, 0.728
27.3203, 0.894
13.6133, 0.780
48.3805, 0.779
52.5631, 0.814
50.8559, 0.828
53.9318, 0.894
52.357, 0.625
58.3005, 0.778
53.2089, 0.733
46.2802, 0.778
46.2864, 0.764
46.2926, 0.783
46.2988, 0.778
46.3051, 0.779
46.3172, 0.813
46.3235, 0.785
46.3296, 0.786
46.3357, 0.780
46.342, 0.777
46.2144, 0.779
46.2337, 0.781
46.2529, 0.782
46.2724, 0.788
46.2918, 0.793
46.3303, 0.798
46.349, 0.779
46.369, 0.788
46.3883, 0.781
46.4076, 0.781
44.2658, 0.855
88.5852, 0.793
84.0392, 0.790
87.4112, 0.758
85.8745, 0.812
47.7613, 0.756
47.4536, 0.745
36.4312, 0.858
42.1233, 0.739
93.4676, 0.784
83.9142, 0.776
86.3697, 0.784
85.0272, 0.850
78.2335, 0.796
80.925, 0.791
80.1354, 0.795
79.8118, 0.799
50.4965, 0.675
78.9607, 0.810
86.43, 0.794
86.8269, 0.769
83.9042, 0.873
94.3455, 0.776
94.9893, 0.787
91.8068, 0.750
86.3979, 0.732
77.6154, 0.764
81.0008, 0.678
85.6287, 0.786
88.9916, 0.806
82.4765, 0.774
81.6368, 0.753
78.2361, 0.731
84.021, 0.847
92.633, 0.714
86.2297, 0.791
83.8214, 0.760
85.8632, 0.744
80.4666, 0.938
91.6533, 0.770
93.5531, 0.825
38.3312, 0.097
37.3493, 0.662
46.1707, 0.718
19.9141, 0.773
20.6112, 0.761
21.1496, 0.752
21.1475, 0.847
19.7628, 0.756
20.6217, 0.822
71.8377, 0.767
94.5858, 0.796
78.3147, 0.724
89.0166, 0.760
73.4528, 0.693
76.2912, 0.740
79.2051, 0.726
87.3859, 0.828
87.1974, 0.828
78.4254, 0.678
78.8603, 0.765
85.505, 0.710
53.5502, 0.716
75.8411, 0.752
84.7466, 0.947
71.304, 0.790
75.8966, 0.732
78.7515, 0.772
83.3877, 0.786
93.2204, 0.796
89.1829, 0.650
88.8788, 0.738
78.5479, 0.638
77.6104, 0.736
93.8793, 0.754
88.9074, 0.855
74.2685, 0.769
83.3679, 0.803
71.6788, 0.709
77.8984, 0.800
88.537, 0.733
84.8128, 0.781
78.6323, 0.723
90.8152, 0.767
82.6328, 0.847
73.9912, 0.737
72.877, 0.662
71.2794, 0.719
70.1891, 0.698
70.3813, 0.721
126.381, 0.732
117.378, 0.734
132.376, 0.382
124.135, 0.744
137.36, 0.764
122.245, 1.419
121.788, 0.785
128.248, 0.760
